Name,Set,Quantity
Burning Cloak,Portal,2
Burning Palm Efreet,Mirage,1
Burning Shield Askari,Mirage,4
Burrowing,Fourth Edition,1
Cackling Fiend,Urza's Saga,1
Cadaverous Bloom,Mirage,1
Cadaverous Knight,Mirage,4
Caldera Lake,Tempest,1
Calming Licid,Stronghold,1
Cannibalize,Stronghold,4
Canopy Dragon,Mirage,1
Canopy Spider,Tempest,6
Canyon Drake,Tempest,1
Canyon Wildcat,Tempest,4
Capsize,Tempest,1
Carnassid,Stronghold,1
Carnivorous Plant,Fourth Edition,2
Carnivorous Plant,The Dark,1
Carnophage,Exodus,3
Carpet of Flowers,Urza's Saga,1
Carrier Pigeons (A),Alliances,1
Carrion Beetles,Urza's Saga,3
Carrion,Mirage,1
Carrionette,Tempest,1
Cartographer,Exodus,1
Casting of Bones (B),Alliances,1
Cat Burglar,Exodus,8
Cat Warriors,Fifth Edition,1
Cataclysm,Exodus,1
Catacomb Dragon,Mirage,1
Catalog,Urza's Saga,5
Catastrophe,Urza's Saga,1
Cathodion,Urza's Saga,1
Cave People,Fourth Edition,3
Cave Tiger,Urza's Saga,4
Celestial Dawn,Mirage,1
Cemetery Gate (B),Homelands,1
Cerulean Wyvern,Mirage,2
Change of Heart,Stronghold,5
Channel,Revised Edition,1
Chaos Charm,Mirage,9
Chaosphere,Mirage,1
Chaotic Goo,Tempest,1
Charcoal Diamond,Mirage,1
Charging Bandits,Portal,3
Charging Paladin,Exodus,9
Charging Rhino,Portal,1
Charging Rhino,Tempest,3
Chariot of the Sun,Mirage,1
Child of Gaea,Urza's Saga,1
Chill,Tempest,1
Chimeric Sphere,Weatherlight,1
Chimeric Staff,Urza's Saga,1
Choke,Tempest,1
Choking Sands,Mirage,5
Choking Vines,Weatherlight,5
Chub Toad,Fifth Edition,1
Cinder Cloud,Mirage,1
Cinder Crawler,Exodus,7
Cinder Marsh,Tempest,1
Cinder Wall,Weatherlight,6
Circle of Despair,Mirage,1
Circle of Protection: Black,Fifth Edition,1
Circle of Protection: Black,Fourth Edition,1
Circle of Protection: Black,Tempest,2
Circle of Protection: Blue,Fourth Edition,2
Circle of Protection: Blue,Tempest,1
Circle of Protection: Green,Fourth Edition,2
Circle of Protection: Green,Tempest,1
Circle of Protection: Red,Fifth Edition,1
Circle of Protection: Red,Fourth Edition,2
Circle of Protection: Red,Revised Edition,1
Circle of Protection: Red,Tempest,1
Circle of Protection: Shadow,Tempest,5
Circle of Protection: White,Fifth Edition,1
Circle of Protection: White,Tempest,2
Citanul Centaurs,Urza's Saga,1
Citanul Flute,Urza's Saga,1
Citanul Hierophants,Urza's Saga,1
City of Traitors,Exodus,1
Civic Guildmage,Mirage,5
Claws of Gix,Urza's Saga,1
Clay Statue,Fourth Edition,3
Clear,Urza's Saga,1
Clergy en-Vec,Tempest,4
Cloak of Confusion,Fifth Edition,1
Cloak of Confusion,Ice Age,1
Cloak of Feathers,Portal,3
Cloak of Invisibility,Mirage,8
Cloak of Mists,Urza's Saga,1
Clockwork Swarm,Homelands,1
Clot Sliver,Tempest,6
Cloud Elemental,Visions,8
Cloud Pirates,Portal,4
Cloud Spirit,Portal,2
Cloud Spirit,Stronghold,8
Cloudchaser Eagle,Tempest,2
Coat of Arms,Exodus,1
Coercion,Tempest,3
Coercion,Visions,6
Coffin Queen,Tempest,1
Coiled Tinviper,Tempest,1
Coils of the Medusa,Weatherlight,6
Cold Storage,Tempest,1
Combat Medic (Beard),Fallen Empires,1
Combat Medic (Maddocks),Fallen Empires,2
Command of Unsummoning,Portal,2
Commander Greven il-Vec,Tempest,1
Cone of Flame,Weatherlight,2
Confiscate,Urza's Saga,1
Congregate,Urza's Saga,1
Constant Mists,Stronghold,2
Consuming Ferocity,Mirage,1
Contaminated Bond,Mirrodin,4
Contamination,Urza's Saga,1
Contemplation,Stronghold,1
Contempt,Stronghold,5
Convalescence,Exodus,1
Conviction,Stronghold,7
Convulsing Licid,Stronghold,1
Copper Gnomes,Urza's Saga,1
Coral Eel,Portal,7
Coral Fighters,Mirage,1
Coral Helm,Fifth Edition,1
Coral Merfolk,Urza's Saga,4
Corpse Dance,Tempest,1
Corrupt,Urza's Saga,5
Corrupting Licid,Stronghold,1
Counsel of the Soratami,Champions of Kamigawa,1
Counterspell,Tempest,1
Cradle Guard,Urza's Saga,1
Crash of Rhinos,Mirage,6
Crashing Boars,Exodus,2
Crater Hellion,Urza's Saga,1
Craven Giant,Portal,1
Craven Giant,Stronghold,8
Craven Knight,Portal,3
Craw Wurm,Fourth Edition,3
Crazed Armodon,Tempest,1
Crazed Skirge,Urza's Saga,1
Crimson Hellkite,Mirage,1
Crimson Roc,Mirage,3
Crossbow Ambush,Stronghold,7
Crosswinds,Urza's Saga,1
Crovax the Cursed,Stronghold,1
Crown of Flames,Tempest,1
Cruel Fate,Portal,1
Cruel Tutor,Portal,1
Crypt Cobra,Mirage,1
Crystal Chimes,Urza's Saga,1
Crystal Golem,Mirage,2
Crystal Rod,Fourth Edition,1
Crystal Vein,Mirage,1
Crystalline Sliver,Stronghold,1
Culling the Weak,Exodus,6
Cunning,Exodus,5
Curfew,Urza's Saga,4
Curiosity,Exodus,1
Cursed Flesh,Exodus,7
Cursed Scroll,Tempest,1
Cursed Totem,Mirage,1
Cycle of Life,Mirage,1
Cyclopean Mummy,Fourth Edition,1
Daring Apprentice,Mirage,1
Dark Banishing,Mirage,4
Dark Banishing,Ninth Edition,8
Dark Banishing,Tempest,1
Dark Hatchling,Urza's Saga,1
Dark Maze (A),Homelands,1
Dark Privilege,Visions,13
Dark Ritual,Fourth Edition,1
Dark Ritual,Mirage,3
Dark Ritual,Tempest,3
Dark Ritual,Urza's Saga,1
Darkest Hour,Urza's Saga,1
Darkling Stalker,Tempest,1
Dauthi Cutthroat,Exodus,1
Dauthi Embrace,Tempest,1
Dauthi Ghoul,Tempest,1
Dauthi Horror,Tempest,4
Dauthi Jackal,Exodus,7
Dauthi Marauder,Tempest,1
Dauthi Mercenary,Tempest,1
Dauthi Mindripper,Tempest,1
Dauthi Slayer,Tempest,1
Dauthi Trapper,Stronghold,1
Dauthi Warlord,Exodus,1
Dazzling Beauty,Mirage,4
Deadshot,Tempest,1
Death Pits of Rath,Tempest,1
Death Stroke,Stronghold,4
Death Ward,Fifth Edition,1
Death Ward,Fourth Edition,2
