Name,Set,Quantity
Imposing Visage,Fifth Edition,1
Imps' Taunt,Tempest,1
Impulse,Visions,1
Incinerate,Mirage,1
Indestructible Aura,Chronicles,1
Index,Apocalypse,2
Infantry Veteran,Visions,3
Infernal Contract,Mirage,1
Infernal Harvest,Visions,6
Infuse,Ice Age,1
Ingenious Thief,Portal,3
Initiates of the Ebon Hand (Foglio),Fallen Empires,1
Insidious Bookworms (A),Alliances,3
Insidious Bookworms (B),Alliances,1
Insight,Tempest,1
Inspiration,Visions,3
Interdict,Tempest,1
Intrepid Hero,Urza's Saga,1
Intruder Alarm,Stronghold,1
Invasion Plans,Stronghold,1
Invulnerability,Tempest,1
Iron Tusk Elephant,Mirage,2
Ironclaw Curse,Homelands,1
Ironclaw Orcs,Fourth Edition,2
Ironroot Treefolk,Fifth Edition,1
Ironroot Treefolk,Revised Edition,1
Island (292),Champions of Kamigawa,1
Island (335),Urza's Saga,1
Island (336),Onslaught,4
Island (336),Urza's Saga,1
Island (337),Onslaught,3
Island (337),Urza's Saga,2
Island (338),Onslaught,3
Island (338),Urza's Saga,2
Island (A),Mirage,1
Island (A),Portal,1
Island (A),Tempest,1
Island (B),Mirage,1
Island (B),Portal,1
Island (B),Revised Edition,2
Island (B),Tempest,1
Island (C),Mirage,1
Island (C),Portal,1
Island (C),Tempest,1
Island (D),Mirage,1
Island (D),Portal,1
Island (D),Tempest,1
Ivory Charm,Mirage,3
Jabari's Influence,Mirage,1
Jackal Pup,Tempest,1
Jackalope Herd,Exodus,6
Jagged Lightning,Urza's Saga,1
Jamuraan Lion,Visions,4
Jangling Automaton,Weatherlight,4
Jet Medallion,Tempest,1
Jinxed Idol,Tempest,1
Jinxed Ring,Stronghold,1
Johtull Wurm,Ice Age,1
Jolrael's Centaur,Mirage,1
Jolt,Mirage,6
Joven,Homelands,1
Juju Bubble,Visions,3
Jump,Fourth Edition,1
Jump,Revised Edition,1
Jungle Lion,Portal,5
Jungle Patrol,Mirage,1
Jungle Troll,Mirage,1
Jungle Wurm,Mirage,7
Juzam Djinn,Arabian Nights,1
Kaervek's Hex,Mirage,2
Kaervek's Purge,Mirage,1
Kaervek's Torch,Mirage,1
"Karn, Silver Golem",Urza's Saga,1
Karoo Meerkat,Mirage,1
Keen-Eyed Archers,Portal,1
Keeper of Kookus,Visions,5
Keeper of the Beasts,Exodus,1
Keeper of the Dead,Exodus,1
Keeper of the Flame,Exodus,1
Keeper of the Light,Exodus,1
Keeper of the Mind,Exodus,1
Keepers of the Faith,Chronicles,2
Kezzerdrix,Tempest,1
Killer Whale,Exodus,2
Kindle,Tempest,3
King Cheetah,Visions,9
King's Assassin,Portal,1
Kithkin Armor,Weatherlight,6
Kjeldoran Escort (B),Alliances,1
Kjeldoran Guard,Ice Age,1
Kjeldoran Pride (A),Alliances,1
Knight Errant,Portal,4
Knight of Dawn,Tempest,1
Knight of Dusk,Tempest,1
Knight of the Mists,Visions,8
Knight of Valor,Visions,4
Kor Chant,Exodus,1
Krakilin,Tempest,1
Krovikan Sorcerer,Fifth Edition,1
Kukemssa Pirates,Mirage,1
Kukemssa Serpent,Mirage,4
Lab Rats,Stronghold,4
Labyrinth Minotaur (B),Homelands,1
Lancers en-Kor,Stronghold,1
Land Leeches,Fourth Edition,1
Land Leeches,The Dark,1
Launch,Urza's Saga,5
Lava Axe,Ninth Edition,4
Lava Axe,Portal,3
Lava Storm,Weatherlight,5
Lay Waste,Urza's Saga,1
Lead Golem,Mirage,1
Lead-Belly Chimera,Visions,1
Leap,Stronghold,7
Leeching Licid,Tempest,1
Leering Gargoyle,Mirage,1
Legacy's Allure,Tempest,1
Legerdemain,Tempest,1
Leshrac's Rite,Fifth Edition,1
Lifeline,Urza's Saga,1
Light of Day,Tempest,1
Lightning Blast,Tempest,1
Lightning Bolt,Fourth Edition,1
Lightning Dragon,Urza's Saga,1
Lightning Elemental,Tempest,1
Lightning Reflexes,Mirage,5
Lilting Refrain,Urza's Saga,1
Limited Resources,Exodus,1
Lingering Mirage,Urza's Saga,1
Lion's Eye Diamond,Mirage,1
Living Death,Tempest,1
Lizard Warrior,Portal,5
Llanowar Behemoth,Weatherlight,2
Llanowar Druid,Weatherlight,4
Lobotomy,Tempest,1
Locust Swarm,Mirage,1
Looming Shade,Eighth Edition,1
Looming Shade,Ninth Edition,3
Looming Shade,Urza's Saga,3
Lotus Blossom,Urza's Saga,1
Lotus Petal,Tempest,1
Lowland Basilisk,Stronghold,4
Lowland Giant,Tempest,4
Lull,Urza's Saga,1
Lure of Prey,Mirage,1
Lure,Mercadian Masques,2
Lurking Evil,Urza's Saga,1
Maddening Imp,Tempest,1
Mage il-Vec,Exodus,6
Magmasaur,Tempest,1
Magnetic Web,Tempest,1
Malignant Growth,Mirage,1
Mana Breach,Exodus,1
Mana Chains,Weatherlight,7
Mana Leak,Stronghold,1
Mana Leech,Urza's Saga,1
Mana Prism,Mirage,1
Mana Severance,Tempest,1
Manabond,Exodus,1
Manakin,Tempest,1
Mangara's Blessing,Mirage,1
Mangara's Equity,Mirage,1
Mangara's Tome,Mirage,1
Maniacal Rage,Exodus,7
Manta Ray,Weatherlight,7
Manta Riders,Tempest,4
Marble Diamond,Mirage,1
Marble Titan,Tempest,1
Maro,Mirage,1
Marsh Gas,Fourth Edition,1
Marsh Lurker,Tempest,5
Marsh Viper,Fourth Edition,2
Marsh Viper,The Dark,3
Martyrdom (B),Alliances,1
Mask of the Mimic,Stronghold,1
Master Decoy,Tempest,1
Master of Arms,Weatherlight,1
Matopi Golem,Visions,3
Mawcor,Tempest,1
Maze of Shadows,Tempest,1
Meddle,Mirage,1
Medicine Bag,Exodus,3
Meditate,Tempest,1
Megrim,Stronghold,1
Melesse Spirit,Mirage,1
Meltdown,Urza's Saga,1
Memory Crystal,Exodus,1
Memory Lapse,Mirage,1
Merfolk Looter,Exodus,8
Merfolk of the Pearl Trident,Fifth Edition,1
Merfolk of the Pearl Trident,Portal,4
Merfolk of the Pearl Trident,Revised Edition,3
Merfolk Raiders,Mirage,8
Merfolk Seer,Mirage,4
Merfolk Traders,Weatherlight,6
Mesa Falcon (A),Homelands,1
Mesa Pegasus,Revised Edition,1
Metallic Sliver,Tempest,5
Metrognome,Urza's Saga,1
Midsummer Revel,Urza's Saga,1
Mind Bend,Mirage,1
Mind Games,Stronghold,7
Mind Harness,Mirage,1
Mind Knives,Portal,5
Mind Maggots,Exodus,1
Mind Over Matter,Exodus,1
Mind Peel,Stronghold,1
Mind Rot,Eighth Edition,2
Mind Rot,Portal,5
Mindbender Spores,Mirage,1
Mindless Automaton,Exodus,1
Mindstab Thrull (Hudson),Fallen Empires,1
Mindwarper,Stronghold,1
Mindwhip Sliver,Tempest,1
Minion of the Wastes,Tempest,1
Minotaur Warrior,Portal,4
Miraculous Recovery,Visions,1
Mire Shade,Mirage,1
Mirozel,Exodus,3
Mirri's Guile,Tempest,1
"Mirri, Cat Warrior",Exodus,1
Mirror Universe,Legends,1
Misers' Cage,Mirage,1
Mishra's Helix,Urza's Saga,1
Mist Dragon,Mirage,1
Mistmoon Griffin,Weatherlight,1
Mnemonic Sliver,Tempest,1
Mob Justice,Stronghold,6
Mobile Fort,Urza's Saga,1
Mobilize,Portal,3
Mogg Assassin,Exodus,3
Mogg Bombers,Stronghold,3
Mogg Cannon,Tempest,1
Mogg Conscripts,Tempest,2
Mogg Fanatic,Tempest,1
Mogg Flunkies,Stronghold,2
Mogg Hollows,Tempest,1
Mogg Infestation,Stronghold,1
Mogg Maniac,Stronghold,1
Mogg Raider,Tempest,3
Mogg Squad,Tempest,1
Mole Worms,Fifth Edition,1
Mongrel Pack,Tempest,1
Monk Idealist,Urza's Saga,2
Monk Realist,Urza's Saga,1
Mons's Goblin Raiders,Fourth Edition,1
Monstrous Growth (A),Portal,2
Monstrous Hound,Exodus,1
Moon Sprite,Portal,2
Morgue Thrull,Stronghold,8
Morphling,Urza's Saga,1
Mortal Wound,Visions,5
Mortuary,Stronghold,1
Moss Diamond,Mirage,1
Mountain (343),Urza's Saga,1
Mountain (344),Urza's Saga,1
Mountain (345),Urza's Saga,1
Mountain (346),Urza's Saga,1
Mountain (A),Mirage,1
Mountain (A),Portal,1
Mountain (A),Revised Edition,3
Mountain (A),Tempest,1
Mountain (B),Ice Age,1
Mountain (B),Mirage,1
Mountain (B),Revised Edition,3
Mountain (B),Tempest,1
Mountain (C),Ice Age,1
Mountain (C),Mirage,1
Mountain (C),Revised Edition,2
Mountain (C),Tempest,1
Mountain (D),Mirage,1
Mountain (D),Tempest,1
Mountain Goat,Fifth Edition,1
Mountain Goat,Portal,1
Mountain Valley,Mirage,1
Mounted Archers,Tempest,1
Mox Diamond,Stronghold,1
Mtenda Griffin,Mirage,1
Mtenda Herder,Mirage,4
Mtenda Lion,Mirage,6
Muck Rats,Portal,5
Mulch,Stronghold,5
Murk Dwellers,Fifth Edition,1
Muscle Sliver,Tempest,3
Mystic Denial,Portal,1
Mystic Remora,Ice Age,1
Mystic Veil,Visions,7
Mystical Tutor,Mirage,1
Nalathni Dragon,Media Promos,2
Natural Balance,Mirage,1
Natural Spring,Portal,2
Natural Spring,Tempest,1
Nature's Cloak,Portal,1
Nature's Kiss,Weatherlight,1
Nature's Lore,Fifth Edition,1
Nature's Lore,Ice Age,1
Nature's Lore,Portal,6
Nature's Revolt,Tempest,1
Nature's Ruin,Portal,1
Nausea,Exodus,10
Necratog,Weatherlight,1
Necrite (Spencer),Fallen Empires,1
Necrologia,Exodus,3
Needle Storm,Portal,1
Needle Storm,Tempest,1
Nettletooth Djinn,Mirage,1
Neurok Stealthsuit,Fifth Dawn,1
Night Soil (Everingham),Fallen Empires,1
No Quarter,Tempest,1
No Rest for the Wicked,Urza's Saga,1
Noble Elephant,Mirage,4
Nocturnal Raid,Mirage,1
Noetic Scales,Urza's Saga,1
Nomads en-Kor,Stronghold,4
Norritt,Ice Age,1
Noxious Toad,Portal,2
Null Brooch,Exodus,1
Null Chamber,Mirage,1
Nurturing Licid,Tempest,1
Oath of Druids,Exodus,1
Oath of Ghouls,Exodus,1
Oath of Lieges,Exodus,1
Oath of Mages,Exodus,1
Oath of Scholars,Exodus,1
Obelisk of Undoing,Fifth Edition,1
Obsianus Golem,Fourth Edition,1
Ogre Shaman,Exodus,1
Okk,Urza's Saga,1
Omen,Portal,5
Onslaught,Exodus,5
Opal Acrolith,Urza's Saga,1
Opal Archangel,Urza's Saga,1
Opal Caryatid,Urza's Saga,4
Opal Gargoyle,Urza's Saga,3
Opal Titan,Urza's Saga,1
Ophidian,Weatherlight,6
Opportunist,Tempest,1
Oppression,Urza's Saga,1
Oracle en-Vec,Tempest,1
Orcish Captain,Fallen Empires,1
Orcish Conscripts,Fifth Edition,1
Orcish Oriflamme,Fifth Edition,1
Orcish Spy (Venters),Fallen Empires,1
Orcish Veteran (Hoover),Fallen Empires,1
Orcish Veteran (Shuler),Fallen Empires,1
Order of Leitbur (A),Fallen Empires,1
Order of Yawgmoth,Urza's Saga,1
Orim's Prayer,Tempest,1
"Orim, Samite Healer",Tempest,1
Outmaneuver,Urza's Saga,1
Overgrowth,Stronghold,7
Override,Mirrodin,2
Overrun,Tempest,1
Ovinomancer,Visions,3
Owl Familiar,Portal,4
Pacifism,Mirage,1
Pacifism,Tempest,2
Pacifism,Urza's Saga,3
Painful Memories,Mirage,1
Paladin en-Vec,Exodus,1
Pallimud,Tempest,1
Pandemonium,Exodus,1
Panther Warriors,Portal,5
Panther Warriors,Visions,1
Paralyze,Fifth Edition,1
Parapet,Visions,7
Parasitic Bond,Urza's Saga,1
Pariah,Urza's Saga,1
Paroxysm,Exodus,1
Patagia Golem,Mirage,1
Patchwork Gnomes,Tempest,1
Path of Peace,Urza's Saga,1
Paupers' Cage,Mirage,1
Peace of Mind,Exodus,1
Pearl Dragon,Mirage,1
Pearl Medallion,Tempest,1
Pearled Unicorn,Revised Edition,2
Pegasus Charger,Urza's Saga,4
Pegasus Refuge,Tempest,1
Pegasus Stampede,Exodus,1
Penance,Exodus,1
Pendrell Drake,Urza's Saga,5
Pendrell Flux,Urza's Saga,4
Peregrine Drake,Urza's Saga,1
Perish,Tempest,1
Persecute,Urza's Saga,1
Personal Tutor,Portal,3
Pestilence,Fifth Edition,1
Pestilence,Revised Edition,2
Pestilence,Urza's Saga,8
Phantasmal Terrain,Fifth Edition,1
Phantasmal Terrain,Fourth Edition,2
Phantom Monster,Fifth Edition,1
Phantom Warrior,Portal,1
Phantom Wings,Weatherlight,6
Phyrexian Colossus,Urza's Saga,1
Phyrexian Denouncer,Urza's Legacy,1
Phyrexian Dreadnought,Mirage,1
Phyrexian Ghoul,Urza's Saga,1
Phyrexian Grimoire,Tempest,1
Phyrexian Hulk,Tempest,1
Phyrexian Processor,Urza's Saga,1
Phyrexian Purge,Mirage,1
Phyrexian Splicer,Tempest,1
Phyrexian Tower,Urza's Saga,1
Phyrexian Tribute,Mirage,1
Phyrexian Vault,Mirage,1
Pikemen,Fifth Edition,2
Pikemen,Fourth Edition,1
Pillaging Horde,Portal,1
Pincher Beetles,Tempest,2
Pine Barrens,Tempest,1
Pit Imp,Tempest,5
Pit Spawn,Exodus,1
Pit Trap,Urza's Saga,1
Plague Beetle,Ninth Edition,4
Plague Rats,Fourth Edition,2
Plaguebearer,Exodus,1
Plains (331),Eighth Edition,1
Plains (331),Urza's Saga,2
Plains (332),Urza's Saga,1
Plains (333),Urza's Saga,1
Plains (334),Urza's Saga,2
Plains (A),Mirage,1
Plains (A),Revised Edition,1
Plains (A),Tempest,1
Plains (B),Mirage,1
Plains (B),Revised Edition,1
Plains (B),Tempest,1
Plains (C),Mirage,1
Plains (C),Tempest,2
Plains (D),Mirage,1
Plains (D),Tempest,3
Planar Birth,Urza's Saga,1
Planar Void,Urza's Saga,1
Plant Elemental,Portal,1
Plated Rootwalla,Exodus,9
Political Trickery,Mirage,1
Polluted Mire,Urza's Saga,1
Polymorph,Mirage,1
Portcullis,Stronghold,1
Pouncing Jaguar,Urza's Saga,1
Power Leak,Fourth Edition,1
Power Sink,Fourth Edition,2
Power Sink,Mirage,1
Power Sink,Revised Edition,1
Power Sink,Tempest,1
Power Sink,Urza's Saga,4
Power Taint,Urza's Saga,4
Precognition,Tempest,1
Predatory Hunger,Exodus,6
Preferred Selection,Mirage,1
Presence of the Master,Urza's Saga,1
Price of Progress,Exodus,1
Priest of Gix,Urza's Saga,1
Priest of Titania,Urza's Saga,1
Primal Rage,Stronghold,1
Primitive Justice,Alliances,1
Prismatic Boon,Mirage,2
Prismatic Circle,Mirage,7
Prismatic Lace,Mirage,1
Prismatic Ward,Fifth Edition,2
Prodigal Sorcerer,Fourth Edition,2
Prodigal Sorcerer,Revised Edition,2
Propaganda,Tempest,1
Provoke,Stronghold,7
Psychic Transfer,Mirage,1
Psychic Venom,Fourth Edition,1
Puppet Strings,Tempest,1
Purgatory,Mirage,1
Purging Scythe,Urza's Saga,1
Purraj of Urborg,Mirage,1
Pursuit of Knowledge,Stronghold,1
Pygmy Troll,Exodus,8
Pyric Salamander,Mirage,8
Pyroblast,Ice Age,1
Python,Portal,3
Python,Visions,2
Quickening Licid,Tempest,1
Quirion Elves,Mirage,1
Rabid Rats,Stronghold,5
Rabid Wolverines,Exodus,6
Rabid Wombat,Fifth Edition,1
Radiant Essence,Mirage,1
Raging Cougar,Portal,4
Raging Goblin (A),Portal,4
Raging Goblin,Exodus,6
Raging Gorilla,Visions,5
Raging Minotaur,Portal,3
Raging Spirit,Mirage,4
Rain of Filth,Urza's Saga,1
Rain of Salt,Urza's Saga,1
Rain of Tears,Portal,1
Rain of Tears,Tempest,1
Raise Dead,Portal,2
Raise Dead,Revised Edition,1
Raise Dead,Seventh Edition,1
Rampant Growth,Mirage,1
Rampant Growth,Tempest,1
Ranger en-Vec,Tempest,1
Ransack,Stronghold,1
Rashida Scalebane,Mirage,1
Rathi Dragon,Tempest,1
Rats of Rath,Tempest,4
Ravenous Baboons,Exodus,1
Ravenous Skirge,Urza's Saga,5
Ravenous Vampire,Mirage,1
Ray of Command,Ice Age,1
Ray of Command,Mirage,8
Ray of Erasure,Ice Age,1
Raze,Urza's Saga,1
Razor Pendulum,Mirage,1
Razortooth Rats,Weatherlight,5
Reality Anchor,Tempest,5
Reality Ripple,Mirage,9
Reanimate,Tempest,1
Reap,Tempest,1
Reaping the Graves,Scourge,1
Reaping the Rewards,Exodus,8
Rebound,Stronghold,1
Recantation,Urza's Saga,1
Reckless Embermage,Mirage,1
Reckless Ogre,Exodus,6
Reckless Spite,Tempest,1
Reclaim,Exodus,6
Reclusive Wight,Urza's Saga,1
Reconnaissance,Exodus,2
Recurring Nightmare,Exodus,1
Recycle,Tempest,1
Red Elemental Blast,Fourth Edition,1
Red Elemental Blast,Revised Edition,3
Redeem,Urza's Saga,1
Redwood Treefolk,Portal,4
Redwood Treefolk,Weatherlight,5
Reef Pirates (A),Homelands,1
Reef Pirates,Fifth Edition,1
Reflect Damage,Mirage,1
Reflecting Pool,Tempest,1
Reflexes,Urza's Saga,5
Regal Unicorn,Portal,6
Regeneration,Eighth Edition,1
Regeneration,Fourth Edition,1
Regeneration,Mirage,7
Reign of Chaos,Mirage,1
Reign of Terror,Mirage,1
Reins of Power,Stronghold,1
Rejuvenate,Urza's Saga,5
Relic Ward,Visions,2
Remedy,Visions,4
Remembrance,Urza's Saga,1
Remote Isle,Urza's Saga,4
Renegade Warlord,Tempest,1
Renewing Dawn,Portal,3
Reparations,Mirage,1
Repentance,Tempest,1
Reprocess,Urza's Saga,1
Rescind,Urza's Saga,1
Resistance Fighter,Visions,1
Respite,Tempest,3
Restless Dead,Mirage,10
Resuscitate,Exodus,1
Retaliation,Urza's Saga,1
Retromancer,Urza's Saga,4
Revenant,Stronghold,1
Revered Unicorn,Weatherlight,1
Rewind,Urza's Saga,1
Ritual of Steel,Mirage,1
Robe of Mirrors,Exodus,7
Rock Basilisk,Mirage,1
Rock Hydra,Revised Edition,1
Rock Slide,Visions,7
Rocky Tar Pit,Mirage,1
Rod of Ruin,Fourth Edition,1
Rogue Elephant,Weatherlight,6
Rolling Stones,Stronghold,1
Rolling Thunder,Tempest,1
Root Maze,Tempest,1
Rootbreaker Wurm,Tempest,2
Roots of Life,Mirage,1
Rootwalla,Tempest,2
Rootwater Alligator,Exodus,9
Rootwater Depths,Tempest,1
Rootwater Diver,Tempest,1
Rootwater Hunter,Tempest,1
Rootwater Matriarch,Tempest,1
Rootwater Mystic,Exodus,9
Rootwater Shaman,Tempest,1
Rowan Treefolk,Portal,4
Royal Herbalist (A),Alliances,1
Ruby Medallion,Tempest,1
Ruination,Stronghold,1
Rumbling Crescendo,Urza's Saga,1
Rune of Protection: Artifacts,Urza's Saga,1
Rune of Protection: Black,Urza's Saga,1
Rune of Protection: Blue,Urza's Saga,5
Rune of Protection: Green,Urza's Saga,3
Rune of Protection: Lands,Urza's Saga,1
Rune of Protection: Red,Urza's Saga,4
Rune of Protection: White,Urza's Saga,5
Sabertooth Cobra,Mirage,4
Sabertooth Wyvern,Exodus,1
Sacred Ground,Stronghold,1
Sacred Guide,Tempest,1
Sacred Knight,Portal,2
Sacred Mesa,Mirage,1
Sacred Nectar,Portal,5
Sadistic Glee,Tempest,1
Safeguard,Tempest,1
Salt Flats,Tempest,1
Samite Blessing,Stronghold,7
Samite Healer,Fifth Edition,1
Samite Healer,Revised Edition,2
Sanctum Custodian,Urza's Saga,4
Sanctum Guardian,Urza's Saga,1
Sand Golem,Mirage,1
Sandbar Crocodile,Mirage,6
Sandbar Merfolk,Urza's Saga,4
Sandbar Serpent,Urza's Saga,1
Sandstone Warrior,Tempest,1
Sandstorm,Fourth Edition,1
Sandstorm,Mirage,3
Sanguine Guard,Urza's Saga,1
Sapphire Charm,Mirage,5
Sapphire Medallion,Tempest,1
Savage Twister,Mirage,1
Sawback Manticore,Mirage,1
Sawtooth Ogre,Weatherlight,5
Scabland,Tempest,1
Scald,Urza's Saga,1
Scalding Salamander,Exodus,1
Scalding Tongs,Tempest,1
Scaled Wurm,Fifth Edition,1
Scapegoat,Stronghold,2
Scare Tactics,Exodus,7
School of Piranha,Exodus,6
Scorched Earth,Tempest,1
Scorching Spear,Portal,3
Scorching Winds,Portal,1
Scoria Wurm,Urza's Saga,1
Scragnoth,Tempest,1
Scrap,Urza's Saga,3
Screeching Harpy,Tempest,1
Scrivener,Exodus,3
Scroll Rack,Tempest,1
Scryb Sprites,Fourth Edition,3
Sea Monster,Tempest,4
Sea Scryer,Mirage,1
Sea Serpent,Fourth Edition,2
Sealed Fate,Mirage,1
Searing Spear Askari,Mirage,4
Searing Touch,Tempest,1
Seasinger,Fallen Empires,1
Seasoned Marshal,Portal,1
Seasoned Marshal,Urza's Saga,1
Seedling Charm,Mirage,6
Seeds of Innocence,Mirage,1
Seeker of Skybreak,Tempest,1
Seeker,Fourth Edition,1
Seething Anger,Stronghold,3
Segmented Wurm,Tempest,2
Segovian Leviathan,Fourth Edition,1
Seismic Assault,Exodus,1
"Selenia, Dark Angel",Tempest,1
Selesnya Evangel,Ravnica: City of Guilds,1
Selesnya Sanctuary,Ravnica: City of Guilds,1
Selesnya Signet,Ravnica: City of Guilds,2
Serene Heart,Mirage,6
Serene Offering,Tempest,1
Serpent Warrior,Portal,5
Serpent Warrior,Stronghold,8
Serra Avatar,Urza's Saga,1
Serra Bestiary,Homelands,1
Serra Zealot,Urza's Saga,5
Serra's Embrace,Urza's Saga,1
Serra's Hymn,Urza's Saga,1
Serra's Liturgy,Urza's Saga,1
Serra's Sanctum,Urza's Saga,1
Servant of Volrath,Tempest,4
Severed Legion,Eighth Edition,1
Sewer Rats,Mirage,3
Shackles,Exodus,8
Shadow Guildmage,Mirage,11
Shadow Rider,Weatherlight,5
Shadow Rift,Tempest,1
Shadowbane,Mirage,2
Shadowstorm,Tempest,1
Shallow Grave,Mirage,1
Shaman en-Kor,Stronghold,1
Shanodin Dryads,Fourth Edition,1
Shanodin Dryads,Revised Edition,1
Shaper Guildmage,Mirage,5
Shard Phoenix,Stronghold,1
Shatter,Tempest,4
Shattered Crypt,Weatherlight,4
Shattering Pulse,Exodus,8
Shatterstorm,Fifth Edition,1
Shauku's Minion,Mirage,1
"Shauku, Endbringer",Mirage,1
Shield Mate,Exodus,10
Shield Wall,Fifth Edition,1
Shifting Wall,Stronghold,1
Shimian Night Stalker,Chronicles,1
Shimmer,Mirage,1
Shimmering Barrier,Urza's Saga,2
Shimmering Efreet,Visions,1
Shimmering Wings,Tempest,1
Shiv's Embrace,Urza's Saga,1
Shivan Gorge,Urza's Saga,1
Shivan Hellkite,Urza's Saga,1
Shivan Raptor,Urza's Saga,1
Shock,Ninth Edition,4
Shock,Stronghold,2
Shocker,Tempest,1
Show and Tell,Urza's Saga,1
Shower of Sparks,Urza's Saga,2
Sicken,Urza's Saga,4
Sidar Jabari,Mirage,1
Sift,Stronghold,3
Silent Attendant,Urza's Saga,2
Silver Wyvern,Stronghold,1
Sirocco,Mirage,1
Sisay's Ring,Visions,3
Sisters of the Flame,Fourth Edition,1
Skeletal Crocodile,Portal,5
Skeletal Snake,Portal,4
Skeleton Scavengers,Stronghold,1
Skirge Familiar,Urza's Saga,1
Skittering Skirge,Urza's Saga,1
Skulking Ghost,Mirage,3
Skull Catapult,Fifth Edition,1
Sky Diamond,Mirage,1
Sky Spirit,Tempest,1
Skyshaper,Exodus,2
Skyshroud Archer,Stronghold,6
Skyshroud Condor,Tempest,1
Skyshroud Elf,Tempest,1
Skyshroud Elite,Exodus,1
Skyshroud Falcon,Stronghold,6
Skyshroud Forest,Tempest,1
Skyshroud Ranger,Tempest,1
Skyshroud Troll,Tempest,4
Skyshroud Troopers,Stronghold,7
Skyshroud Vampire,Tempest,3
Skyshroud War Beast,Exodus,1
Slaughter,Exodus,1
Sleeper Agent,Urza's Saga,1
Slippery Karst,Urza's Saga,1
Sliver Queen,Stronghold,1
Smite,Stronghold,9
Smokestack,Urza's Saga,1
Smoldering Crater,Urza's Saga,1
Snapping Drake,Portal,7
Sneak Attack,Urza's Saga,1
Snow Devil,Ice Age,1
Soar,Mirage,8
Soldevi Adnate (B),Alliances,1
Soldevi Sentry (A),Alliances,2
Solfatara,Visions,7
Soltari Champion,Stronghold,1
Soltari Crusader,Tempest,1
Soltari Emissary,Tempest,1
Soltari Foot Soldier,Tempest,1
Soltari Guerrillas,Tempest,1
Soltari Lancer,Tempest,1
Soltari Monk,Tempest,1
Soltari Priest,Tempest,1
Soltari Trooper,Tempest,2
Soltari Visionary,Exodus,5
Somnophore,Urza's Saga,1
Song of Blood,Visions,5
Song of Serenity,Exodus,1
Songstitcher,Urza's Saga,1
Sonic Burst,Exodus,1
Sorcerous Sight,Portal,2
Soul Barrier,Fifth Edition,1
Soul Echo,Mirage,1
Soul Exchange,Fallen Empires,2
Soul Kiss,Ice Age,1
Soul Rend,Mirage,1
Soul Sculptor,Urza's Saga,1
Soul Shepherd,Weatherlight,5
Soul Shred,Portal,5
Soul Warden,Exodus,5
Souldrinker,Tempest,1
Soulshriek,Mirage,8
Spatial Binding,Mirage,1
Spectral Guardian,Mirage,1
Spell Blast,Tempest,1
Spellbook,Exodus,2
Spellshock,Exodus,1
Sphere of Resistance,Exodus,1
Spider Climb,Visions,4
Spike Breeder,Stronghold,1
Spike Cannibal,Exodus,1
Spike Colony,Stronghold,5
Spike Drone,Tempest,2
Spike Feeder,Stronghold,1
Spike Hatcher,Exodus,1
Spike Rogue,Exodus,1
Spike Soldier,Stronghold,1
Spike Weaver,Exodus,1
Spike Worker,Stronghold,5
Spinal Graft,Tempest,1
Spindrift Drake,Stronghold,3
Spined Fluke,Urza's Saga,1
Spined Sliver,Stronghold,1
Spined Wurm,Portal,7
Spined Wurm,Stronghold,4
Spinning Darkness,Weatherlight,5
Spire Golem,Darksteel,4
Spire Owl,Urza's Saga,1
Spirit en-Kor,Stronghold,3
Spirit Mirror,Tempest,1
Spirit of the Night,Mirage,1
Spitting Earth,Mirage,4
Spitting Earth,Portal,6
Spitting Hydra,Stronghold,1
Spontaneous Combustion,Tempest,1
Sporogenesis,Urza's Saga,1
Spotted Griffin,Portal,5
Spreading Algae,Urza's Saga,1
Squee's Toy,Tempest,1
Stalking Stones,Tempest,1
Stalking Tiger,Mirage,2
Stalking Tiger,Portal,1
Standing Troops,Exodus,7
Starke of Rath,Tempest,1
Starlit Angel,Portal,2
Static Orb,Tempest,1
Staunch Defenders,Tempest,1
Steadfastness,Portal,3
Steal Enchantment,Tempest,1
Steam Blast,Urza's Saga,1
Stench of Decay (A),Alliances,3
Stern Proctor,Urza's Saga,1
Stinging Licid,Tempest,1
Stone Giant,Fifth Edition,1
Stone Rain,Mirage,1
Stone Rain,Portal,4
Stone Rain,Tempest,1
Storm Crow (A),Alliances,1
Storm Crow,Portal,1
Storm Elemental,Alliances,1
Storm Front,Tempest,1
Striped Bears,Weatherlight,7
Stroke of Genius,Urza's Saga,1
Stromgald Spy,Alliances,1
Stronghold Assassin,Stronghold,1
Stronghold Taskmaster,Stronghold,1
Stun,Tempest,4
Stupor,Mirage,1
Subterranean Spirit,Mirage,1
Sudden Impact,Tempest,1
Suffocation,Alliances,1
Sulfuric Vapors,Urza's Saga,1
Summer Bloom,Portal,1
Sunder,Urza's Saga,1
Sunweb,Mirage,1
Superior Numbers,Mirage,1
Suq'Ata Firewalker,Mirage,1
Suq'Ata Lancer,Visions,8
Survival of the Fittest,Exodus,1
Svyelunite Priest,Fallen Empires,1
Svyelunite Temple,Fifth Edition,1
Swamp (339),Urza's Saga,3
Swamp (340),Urza's Saga,3
Swamp (341),Urza's Saga,4
Swamp (342),Urza's Saga,4
Swamp (A),Mirage,1
Swamp (A),Revised Edition,7
Swamp (A),Tempest,1
