Bayou Dragonfly,Tempest,3,0.21,0.63
Bazaar of Wonders,Mirage,1,7.50,7.50
Bedlam,Urza's Saga,1,3.79,3.79
Bee Sting,Portal,3,0.27,0.81
Befoul,Urza's Saga,1,0.24,0.24
Bellowing Fiend,Tempest,1,0.39,0.39
Benalish Hero,Fifth Edition,1,0.21,0.21
Benalish Hero,Fourth Edition,2,0.18,0.36
Benalish Infantry,Weatherlight,5,0.21,1.05
Benalish Knight,Weatherlight,1,0.21,0.21
Benalish Missionary,Weatherlight,2,0.20,0.40
Benevolent Unicorn,Mirage,7,0.22,1.54
Benthic Behemoth,Tempest,1,0.73,0.73
Benthic Djinn,Mirage,1,0.59,0.59
Benthic Explorers (A),Alliances,1,0.22,0.22
Bequeathal,Exodus,8,0.25,2.00
Bereavement,Urza's Saga,1,0.25,0.25
Betrayal,Visions,4,0.25,1.00
Betrothed of Fire,Weatherlight,5,0.22,1.10
Binding Agony,Mirage,2,0.23,0.46
Bird Maiden,Fifth Edition,1,0.22,0.22
Black Knight,Fourth Edition,1,0.34,0.34
Blanchwood Armor,Urza's Saga,1,0.35,0.35
Blanchwood Treefolk,Urza's Saga,1,0.20,0.20
Blasted Landscape,Urza's Saga,1,1.43,1.43
Blighted Shaman,Mirage,1,0.25,0.25
Blind Fury,Mirage,1,0.25,0.25
Blinding Light,Mirage,1,0.25,0.25
Blistering Barrier,Mirage,5,0.20,1.00
Blood Frenzy,Tempest,1,0.20,0.20
Blood Pet,Tempest,1,0.34,0.34
Blood Vassal,Urza's Saga,1,0.23,0.23
Bloodrock Cyclops,Weatherlight,5,0.20,1.00
Blossoming Wreath,Weatherlight,5,0.20,1.00
Blue Elemental Blast,Fourth Edition,1,0.25,0.25
Blue Elemental Blast,Revised Edition,2,0.25,0.50
Blue Ward,Fourth Edition,1,0,0.00
Bog Imp,Fifth Edition,1,0,0.00
Bog Imp,Fourth Edition,1,0,0.00
Bog Imp,Portal,3,0,0.00
Bog Raiders,Portal,4,0,0.00
Bog Raiders,Urza's Saga,3,0,0.00
Bog Rats,The Dark,1,0,0.00
Bog Wraith,Portal,1,0,0.00
Bogardan Firefiend,Weatherlight,5,0,0.00
Boil,Tempest,1,0,0.00
Boiling Blood,Weatherlight,5,0,0.00
Boiling Seas,Portal,1,0,0.00
Bone Harvest,Mirage,5,0,0.00
Bone Mask,Mirage,1,0,0.00
Bone Shaman,Ice Age,1,0,0.00
Booby Trap,Tempest,1,0,0.00
Boomerang,Chronicles,1,0,0.00
Boomerang,Mirage,1,0,0.00
